QuestionID,Topic,Difficulty,Question,Options,Answer,Explanation
1,Ratios,Easy,"Ratio 2:10, total=175. Find parts.","['31.17,143.83', '26.17,148.83', '29.17,145.83', '34.17,140.83']","29.17,145.83","Parts=29.17,145.83"
2,Ratios,Easy,"Ratio 20:15, total=66. Find parts.","['42.71,23.29', '34.71,31.29', '39.71,26.29', '37.71,28.29']","37.71,28.29","Parts=37.71,28.29"
3,Algebra,Easy,"Solve the system: 4x+7y=9, 4x+8y=8","['(4,0)', '(5,-1)', '(3,-2)', '(4,-1)']","(4,-1)","Solved x=4, y=-1"
4,Geometry,Hard,Find area of triangle with base 17 cm and height 28 cm.,"[119.0, 238.0, 59.5, 178.5]",238,Area = 0.5*17*28 = 238.0
5,Probability,Easy,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
6,Geometry,Hard,Find area of triangle with base 33 cm and height 21 cm.,"[259.88, 346.5, 173.25, 86.62]",346.5,Area = 0.5*33*21 = 346.5
7,Number Theory,Hard,Is 49 prime?,"['Yes', 'No']",No,49 is No
8,Geometry,Medium,Hypotenuse of right triangle with legs 5 cm and 5 cm?,"[6.01, 3.89, 7.07, 4.95]",7.07,c=sqrt(5^2+5^2)=7.07
9,Algebra,Easy,Find the roots of x^2 + 1x + -2 = 0,"['(-3,2)', '(1,-2)', '(-2, 1)', '(-1,0)']","(-2, 1)",Roots are -2 and 1
10,Geometry,Medium,Hypotenuse of right triangle with legs 11 cm and 25 cm?,"[19.12, 27.31, 23.21, 15.02]",27.31,c=sqrt(11^2+25^2)=27.31
11,Number Theory,Medium,"gcd(138,117)?","[1, 0, 3, 2]",3,gcd=3
12,Ratios,Hard,"Ratio 3:9, total=470. Find parts.","['119.5,350.5', '114.5,355.5', '122.5,347.5', '117.5,352.5']","117.5,352.5","Parts=117.5,352.5"
13,Geometry,Easy,Find area of triangle with base 40 cm and height 26 cm.,"[520.0, 260.0, 130.0, 390.0]",520,Area = 0.5*40*26 = 520.0
14,Probability,Expert,Two dice sum=7?,"['5/36', '6/36', '7/36', '8/36']",Jun-36,Pairs sum to 7
15,Algebra,Medium,"Solve the system: 5x+7y=-31, 7x+6y=-32","['(-1,-3)', '(-2,-2)', '(-2,-3)', '(-3,-4)']","(-2,-3)","Solved x=-2, y=-3"
16,Percentages,Medium,"If 50% of a number is 1130, what is the number?","[2260.0, 1808.0, 1356.0, 904.0]",2260,x = 1130/(0.5) = 2260.0
17,Number Theory,Expert,Is 26 prime?,"['Yes', 'No']",No,26 is No
18,Number Theory,Easy,Is 17 prime?,"['Yes', 'No']",Yes,17 is Yes
19,Ratios,Hard,"Ratio 12:5, total=200. Find parts.","['138.18,61.82', '146.18,53.82', '141.18,58.82', '143.18,56.82']","141.18,58.82","Parts=141.18,58.82"
20,Percentages,Hard,A cask of 50L full of wine has 5L drawn and replaced with water. This is done 4 times. How much wine remains (to 2 decimals)?,"[27.55, 24.93, 32.8, 30.18]",32.8,Wine remaining = 50 * (1 - 5/50)^4 = 32.8L
21,Algebra,Hard,Solve for x: 10x + 17 = 1,"[-1.6, -1.63, -1.62, -1.61]",-1.6,x = (1-17)/10 = -1.6
22,Percentages,Hard,A value changed by 12.5% then by -30%. What is the net change?,"['21.25% gain', '29.25% loss', '17.25% gain', '21.25% loss']",21.25% loss,Net change = 12.5 + -30 + (12.5*-30/100) = -21.25%
23,Algebra,Expert,"Solve the system: 3x+5y=44, 7x+4y=49","['(3,7)', '(2,6)', '(3,8)', '(4,7)']","(3,7)","Solved x=3, y=7"
24,Probability,Hard,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
25,Number Theory,Expert,"gcd(83,77)?","[0, 1, -1, -2]",1,gcd=1
26,Number Theory,Medium,Is 24 prime?,"['Yes', 'No']",No,24 is No
27,Percentages,Easy,What is 10% of 1550?,"[116.25, 155.0, 77.5, 38.75]",155,10% = 10/100. So 10/100 × 1550 = 155.0
28,Number Theory,Medium,"lcm(26,20)?","[260, 257, 259, 258]",260,LCM=260
29,Ratios,Expert,"Ratio 9:17, total=463. Find parts.","['165.27,297.73', '157.27,305.73', '160.27,302.73', '162.27,300.73']","160.27,302.73","Parts=160.27,302.73"
30,Percentages,Expert,A value changed by 20% then by 10%. What is the net change?,"['36.0% loss', '32.0% gain', '28.0% gain', '40.0% gain']",32.0% gain,Net change = 20 + 10 + (20*10/100) = 32.0%
31,Percentages,Medium,"If 20% of a number is 1420, what is the number?","[5680.0, 4260.0, 2840.0, 7100.0]",7100,x = 1420/(0.2) = 7100.0
32,Algebra,Hard,Find the roots of x^2 + 8x + 15 = 0,"['(-5,-3)', '(-3, -5)', '(-2,-6)', '(-4,-4)']","(-3, -5)",Roots are -3 and -5
33,Percentages,Easy,What is 15% of 4900?,"[183.75, 551.25, 735.0, 367.5]",735,15% = 15/100. So 15/100 × 4900 = 735.0
34,Probability,Medium,Prob of heart in 52 cards?,"['12/52', '13/52', '14/52', '26/52']",13/52,13 hearts
35,Percentages,Medium,"In an election with 2 candidates, the winner got 55% of votes and won by 1800 votes. Find total votes cast.","[17997, 18000, 17998, 17999]",18000,100% = 1800/(0.1) = 18000
36,Probability,Expert,A die rolled once. Prob>4?,"['1/6', '2/6', '3/6', '4/6']",02-Jun,"Numbers>4 are 5,6"
37,Geometry,Medium,Find area of triangle with base 38 cm and height 5 cm.,"[47.5, 95.0, 23.75, 71.25]",95,Area = 0.5*38*5 = 95.0
38,Number Theory,Expert,Is 43 prime?,"['Yes', 'No']",Yes,43 is Yes
